feature,coefficient
spread_mean_10,-2.670317965299553
spread_std_10,1.760976270738607
midprice,-1.4693469104870693
ret_mean_10,0.30190636881134214
bid_ask_qty_imbalance,0.2912819612576849
best_bid_quantity,-0.2536197954352312
ret_std_10,0.21142375973970134
volatility_10,0.21142375973970134
best_ask_quantity,0.20137061687132024
spread_bps,-0.1358309358825887
abs_log_return,-0.10153071562499189
price_change_5,0.09240165174756045
log_return,0.031051327518633584
spread,-0.01992522042000437
